"n","pi","mu","r","Weight","Power","MCSE"
500,0.1,1.5,3,"Central",0.0154,0.00174142700105402
500,0.1,1.5,3,"Tail",0.1306,0.00476536756189908
500,0.1,1.5,5,"Uniform",0,0
500,0.1,1.5,5,"Central",0.0088,0.00132079975772257
500,0.1,1.5,5,"Tail",0.2382,0.00602429680543713
500,0.1,1.5,8,"Uniform",0,0
500,0.1,1.5,8,"Central",0.003,0.00077343390150678
500,0.1,1.5,8,"Tail",0.3756,0.00684871725215752
500,0.2,0.5,1,"Uniform",0,0
500,0.2,0.5,1,"Central",0.0556,0.00324063697442339
500,0.2,0.5,1,"Tail",0.0456,0.00295027591929975
500,0.2,0.5,2,"Uniform",0,0
500,0.2,0.5,2,"Central",0.0464,0.00297479545515318
500,0.2,0.5,2,"Tail",0.063,0.00343601513384327
500,0.2,0.5,3,"Uniform",0,0
500,0.2,0.5,3,"Central",0.0376,0.00269021337443705
500,0.2,0.5,3,"Tail",0.07,0.00360832371053374
500,0.2,0.5,5,"Uniform",0,0
500,0.2,0.5,5,"Central",0.033,0.00252630164469724
500,0.2,0.5,5,"Tail",0.0828,0.00389728520896277
500,0.2,0.5,8,"Uniform",0,0
500,0.2,0.5,8,"Central",0.0272,0.00230044169671826
500,0.2,0.5,8,"Tail",0.1132,0.00448075350806089
500,0.2,1,1,"Uniform",0,0
500,0.2,1,1,"Central",0.0504,0.00309385972532693
500,0.2,1,1,"Tail",0.0556,0.00324063697442339
500,0.2,1,2,"Uniform",0,0
500,0.2,1,2,"Central",0.0236,0.00214676687136727
500,0.2,1,2,"Tail",0.1236,0.00465452553973012
500,0.2,1,3,"Uniform",0,0
500,0.2,1,3,"Central",0.0108,0.00146173595426807
500,0.2,1,3,"Tail",0.1788,0.00541905083939983
500,0.2,1,5,"Uniform",0,0
500,0.2,1,5,"Central",0.0034,0.0008232180756033
500,0.2,1,5,"Tail",0.3162,0.00657597992697666
500,0.2,1,8,"Uniform",0,0
500,0.2,1,8,"Central",0.0016,0.000565232695444982
500,0.2,1,8,"Tail",0.4708,0.00705899936251591
500,0.2,1.5,1,"Uniform",0,0
500,0.2,1.5,1,"Central",0.0302,0.00242024626846112
500,0.2,1.5,1,"Tail",0.081,0.00385847119984068
500,0.2,1.5,2,"Uniform",0,0
500,0.2,1.5,2,"Central",0.005,0.000997496867163
500,0.2,1.5,2,"Tail",0.2958,0.00645449238902642
