"n","Perturbation","x0","eta","c","r","Weight","Kappa","Lambda","Empirical_Power","MCSE","Theoretical_Power","Zero_Kappa"
50,"Quadratic",NA,NA,2,5,"Central",-0.182565066938613,-0.365130133877225,0.0428,0.00286245209566903,0.0654081616143587,FALSE
50,"Quadratic",NA,NA,2,5,"Tail",0.298276554122463,0.596553108244926,0.0858,0.00396076659246667,0.091662821447148,FALSE
50,"Quadratic",NA,NA,2,8,"Uniform",0.000100000000000046,0.000200000000000092,0,0,0.0500000045820093,FALSE
50,"Quadratic",NA,NA,2,8,"Central",-0.182565066938613,-0.365130133877225,0.0314,0.00246633493264804,0.0654081616143587,FALSE
50,"Quadratic",NA,NA,2,8,"Tail",0.298276554122463,0.596553108244926,0.1064,0.0043607118684912,0.091662821447148,FALSE
50,"Oscillatory",NA,NA,0.5,1,"Uniform",-7.53954689429551e-19,-3.76977344714775e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,1,"Central",3.47782333417008e-17,1.73891166708504e-17,0.057,0.00327874976172321,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,1,"Tail",-5.61365292553813e-17,-2.80682646276906e-17,0.048,0.00302311098043059,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,2,"Uniform",-7.53954689429551e-19,-3.76977344714775e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,2,"Central",3.47782333417008e-17,1.73891166708504e-17,0.0532,0.00317394895989208,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,2,"Tail",-5.61365292553813e-17,-2.80682646276906e-17,0.0466,0.00298088711627931,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,3,"Uniform",-7.53954689429551e-19,-3.76977344714775e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,3,"Central",3.47782333417008e-17,1.73891166708504e-17,0.0496,0.00307049963361014,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,3,"Tail",-5.61365292553813e-17,-2.80682646276906e-17,0.0498,0.00307636018697421,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,5,"Uniform",-7.53954689429551e-19,-3.76977344714775e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,5,"Central",3.47782333417008e-17,1.73891166708504e-17,0.0434,0.00288154264240528,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,5,"Tail",-5.61365292553813e-17,-2.80682646276906e-17,0.0508,0.00310545842026584,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,8,"Uniform",-7.53954689429551e-19,-3.76977344714775e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,8,"Central",3.47782333417008e-17,1.73891166708504e-17,0.0438,0.00289418589589542,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,0.5,8,"Tail",-5.61365292553813e-17,-2.80682646276906e-17,0.042,0.00283675871374356,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,1,"Uniform",-7.53954689429551e-19,-7.53954689429551e-19,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,1,"Central",3.47782333417008e-17,3.47782333417008e-17,0.0492,0.00305873699425106,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,1,"Tail",-5.61365292553813e-17,-5.61365292553813e-17,0.047,0.00299302522541993,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,1,2,"Uniform",-7.53954689429551e-19,-7.53954689429551e-19,0,0,0.0500000000000001,TRUE
