"n","x0","delta","r","Weight","Power","MCSE"
100,0.75,0.1,5,"Central",0.0162,0.00178536046780475
100,0.75,0.1,5,"Tail",0.1084,0.00439657685023246
100,0.75,0.1,8,"Uniform",0,0
100,0.75,0.1,8,"Central",0.0216,0.00205589104769684
100,0.75,0.1,8,"Tail",0.0926,0.00409939605307904
100,0.75,0.2,1,"Uniform",0,0
100,0.75,0.2,1,"Central",0.0034,0.0008232180756033
100,0.75,0.2,1,"Tail",0.3106,0.00654412163701134
100,0.75,0.2,2,"Uniform",0,0
100,0.75,0.2,2,"Central",0.0022,0.000662594898863551
100,0.75,0.2,2,"Tail",0.3492,0.00674180035302144
100,0.75,0.2,3,"Uniform",0,0
100,0.75,0.2,3,"Central",0.0028,0.000747283078893133
100,0.75,0.2,3,"Tail",0.3464,0.00672914615683149
100,0.75,0.2,5,"Uniform",0,0
100,0.75,0.2,5,"Central",6e-04,0.000346306222872186
100,0.75,0.2,5,"Tail",0.296,0.00645575712058624
100,0.75,0.2,8,"Uniform",0,0
100,0.75,0.2,8,"Central",0.001,0.00044698993277254
100,0.75,0.2,8,"Tail",0.1632,0.00522619861849892
100,0.75,0.4,1,"Uniform",0,0
100,0.75,0.4,1,"Central",0.4908,0.00706987072017586
100,0.75,0.4,1,"Tail",0.0046,0.000956957679315026
100,0.75,0.4,2,"Uniform",0,0
100,0.75,0.4,2,"Central",0.4254,0.00699192162427469
100,0.75,0.4,2,"Tail",0.0056,0.00105533312276267
100,0.75,0.4,3,"Uniform",0,0
100,0.75,0.4,3,"Central",0.3652,0.00680924312974651
100,0.75,0.4,3,"Tail",0.0078,0.00124411896537268
100,0.75,0.4,5,"Uniform",0,0
100,0.75,0.4,5,"Central",0.2824,0.00636632138679787
100,0.75,0.4,5,"Tail",0.012,0.00153987012439361
100,0.75,0.4,8,"Uniform",0,0
100,0.75,0.4,8,"Central",0.2526,0.00614480658768036
100,0.75,0.4,8,"Tail",0.0144,0.00168479316237929
200,0.25,0.05,1,"Uniform",0,0
200,0.25,0.05,1,"Central",0.071,0.00363205176174569
200,0.25,0.05,1,"Tail",0.0424,0.00284963997726029
200,0.25,0.05,2,"Uniform",0,0
200,0.25,0.05,2,"Central",0.0596,0.00334806929438445
200,0.25,0.05,2,"Tail",0.0392,0.0027445713690848
200,0.25,0.05,3,"Uniform",0,0
200,0.25,0.05,3,"Central",0.063,0.00343601513384327
200,0.25,0.05,3,"Tail",0.0514,0.00312275647465504
200,0.25,0.05,5,"Uniform",0,0
200,0.25,0.05,5,"Central",0.0552,0.0032296427046966
200,0.25,0.05,5,"Tail",0.051,0.00311123769583746
200,0.25,0.05,8,"Uniform",0,0
200,0.25,0.05,8,"Central",0.0466,0.00298088711627931
200,0.25,0.05,8,"Tail",0.0478,0.00301712313305241
200,0.25,0.1,1,"Uniform",0,0
200,0.25,0.1,1,"Central",0.068,0.00356022471200906
200,0.25,0.1,1,"Tail",0.039,0.00273784586856163
200,0.25,0.1,2,"Uniform",0,0
200,0.25,0.1,2,"Central",0.0676,0.0035504996831432
200,0.25,0.1,2,"Tail",0.0336,0.00254837359898426
200,0.25,0.1,3,"Uniform",0,0
200,0.25,0.1,3,"Central",0.0604,0.00336903072114221
200,0.25,0.1,3,"Tail",0.0466,0.00298088711627931
200,0.25,0.1,5,"Uniform",0,0
200,0.25,0.1,5,"Central",0.0542,0.00320194815698193
200,0.25,0.1,5,"Tail",0.0476,0.00301112072159188
