"n","x0","eta","c","r","Weight","Power","MCSE","Power_MCSE"
50,0.5,0.1,1,3,"Central",0.0438,0.00289418589589542,"0.0438 (0.0029)"
50,0.5,0.1,1,3,"Tail",0.0518,0.0031342227106573,"0.0518 (0.0031)"
50,0.5,0.1,1,5,"Uniform",0.0558,0.00324611644892786,"0.0558 (0.0032)"
50,0.5,0.1,1,5,"Central",0.0486,0.0030409879973456,"0.0486 (0.0030)"
50,0.5,0.1,1,5,"Tail",0.0468,0.00298696367570816,"0.0468 (0.0030)"
50,0.5,0.1,1,8,"Uniform",0.0556,0.00324063697442339,"0.0556 (0.0032)"
50,0.5,0.1,1,8,"Central",0.0462,0.00296868859936505,"0.0462 (0.0030)"
50,0.5,0.1,1,8,"Tail",0.05,0.00308220700148449,"0.0500 (0.0031)"
50,0.5,0.1,1.5,1,"Uniform",0.0468,0.00298696367570816,"0.0468 (0.0030)"
50,0.5,0.1,1.5,1,"Central",0.0416,0.00282380735886852,"0.0416 (0.0028)"
50,0.5,0.1,1.5,1,"Tail",0.056,0.00325158422926425,"0.0560 (0.0033)"
50,0.5,0.1,1.5,2,"Uniform",0.0498,0.00307636018697421,"0.0498 (0.0031)"
50,0.5,0.1,1.5,2,"Central",0.0434,0.00288154264240528,"0.0434 (0.0029)"
50,0.5,0.1,1.5,2,"Tail",0.054,0.00319637294444813,"0.0540 (0.0032)"
50,0.5,0.1,1.5,3,"Uniform",0.0518,0.0031342227106573,"0.0518 (0.0031)"
50,0.5,0.1,1.5,3,"Central",0.0426,0.00285605462132642,"0.0426 (0.0029)"
50,0.5,0.1,1.5,3,"Tail",0.052,0.00313993630508646,"0.0520 (0.0031)"
50,0.5,0.1,1.5,5,"Uniform",0.054,0.00319637294444813,"0.0540 (0.0032)"
50,0.5,0.1,1.5,5,"Central",0.0404,0.00278452293939195,"0.0404 (0.0028)"
50,0.5,0.1,1.5,5,"Tail",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.5,0.1,1.5,8,"Uniform",0.0516,0.00312849612433834,"0.0516 (0.0031)"
50,0.5,0.1,1.5,8,"Central",0.0528,0.00316266216975509,"0.0528 (0.0032)"
50,0.5,0.1,1.5,8,"Tail",0.0474,0.00300510365877785,"0.0474 (0.0030)"
50,0.5,0.1,2,1,"Uniform",0.0472,0.00299907185642492,"0.0472 (0.0030)"
50,0.5,0.1,2,1,"Central",0.039,0.00273784586856163,"0.0390 (0.0027)"
50,0.5,0.1,2,1,"Tail",0.0652,0.00349138826256834,"0.0652 (0.0035)"
50,0.5,0.1,2,2,"Uniform",0.0438,0.00289418589589542,"0.0438 (0.0029)"
